season,team,matches_played,matches_won,win_percentage
2017,Sunrisers Hyderabad,14,8,57.14
2017,Mumbai Indians,17,12,70.59
2017,Gujarat Lions,14,4,28.57
2017,Rising Pune Supergiant,16,10,62.5
2017,Royal Challengers Bangalore,13,3,23.08
2017,Kolkata Knight Riders,16,9,56.25
2017,Delhi Daredevils,14,6,42.86
2017,Kings XI Punjab,14,7,50.0
2008,Kolkata Knight Riders,13,6,46.15
2008,Chennai Super Kings,16,9,56.25
2008,Rajasthan Royals,16,13,81.25
2008,Mumbai Indians,14,7,50.0
2008,Deccan Chargers,14,2,14.29
2008,Kings XI Punjab,15,10,66.67
2008,Royal Challengers Bangalore,14,4,28.57
2008,Delhi Daredevils,14,7,50.0
2009,Mumbai Indians,13,5,38.46
2009,Royal Challengers Bangalore,16,9,56.25
2009,Kings XI Punjab,14,7,50.0
2009,Kolkata Knight Riders,13,3,23.08
2009,Chennai Super Kings,14,8,57.14
2009,Deccan Chargers,16,9,56.25
2009,Delhi Daredevils,15,10,66.67
2009,Rajasthan Royals,13,6,46.15
2010,Kolkata Knight Riders,14,7,50.0
2010,Mumbai Indians,16,11,68.75
2010,Kings XI Punjab,14,4,28.57
2010,Royal Challengers Bangalore,16,8,50.0
2010,Deccan Chargers,16,8,50.0
2010,Rajasthan Royals,14,6,42.86
2010,Chennai Super Kings,16,9,56.25
2010,Delhi Daredevils,14,7,50.0
2011,Chennai Super Kings,16,11,68.75
2011,Deccan Chargers,14,6,42.86
2011,Kochi Tuskers Kerala,14,6,42.86
2011,Delhi Daredevils,14,4,28.57
2011,Kings XI Punjab,14,7,50.0
2011,Kolkata Knight Riders,15,8,53.33
2011,Royal Challengers Bangalore,16,10,62.5
2011,Rajasthan Royals,13,6,46.15
2011,Mumbai Indians,16,10,62.5
2011,Pune Warriors,14,4,28.57
2012,Chennai Super Kings,18,10,55.56
2012,Kolkata Knight Riders,17,12,70.59
2012,Pune Warriors,16,4,25.0
2012,Rajasthan Royals,16,7,43.75
2012,Royal Challengers Bangalore,15,8,53.33
2012,Deccan Chargers,15,4,26.67
2012,Mumbai Indians,17,10,58.82
2012,Kings XI Punjab,16,8,50.0
2012,Delhi Daredevils,18,11,61.11
2013,Delhi Daredevils,16,3,18.75
2013,Royal Challengers Bangalore,16,9,56.25
2013,Sunrisers Hyderabad,17,10,58.82
2013,Rajasthan Royals,18,11,61.11
2013,Mumbai Indians,19,13,68.42
2013,Pune Warriors,16,4,25.0
2013,Kings XI Punjab,16,8,50.0
2013,Kolkata Knight Riders,16,6,37.5
2013,Chennai Super Kings,18,12,66.67
2014,Kolkata Knight Riders,16,11,68.75
2014,Delhi Daredevils,14,2,14.29
2014,Chennai Super Kings,16,10,62.5
2014,Sunrisers Hyderabad,14,6,42.86
2014,Mumbai Indians,15,7,46.67
2014,Rajasthan Royals,14,7,50.0
2014,Kings XI Punjab,17,12,70.59
2014,Royal Challengers Bangalore,14,5,35.71
2015,Mumbai Indians,16,10,62.5
2015,Chennai Super Kings,17,10,58.82
2015,Rajasthan Royals,14,7,50.0
2015,Kolkata Knight Riders,13,7,53.85
2015,Delhi Daredevils,14,5,35.71
2015,Kings XI Punjab,14,3,21.43
2015,Royal Challengers Bangalore,16,8,50.0
2015,Sunrisers Hyderabad,14,7,50.0
2016,Mumbai Indians,14,7,50.0
2016,Delhi Daredevils,14,7,50.0
2016,Kings XI Punjab,14,4,28.57
2016,Royal Challengers Bangalore,16,9,56.25
2016,Kolkata Knight Riders,15,8,53.33
2016,Rising Pune Supergiants,14,5,35.71
2016,Sunrisers Hyderabad,17,11,64.71
2016,Gujarat Lions,16,9,56.25
2018,Mumbai Indians,14,6,42.86
2018,Delhi Daredevils,14,5,35.71
2018,Royal Challengers Bangalore,14,6,42.86
2018,Rajasthan Royals,15,7,46.67
2018,Kolkata Knight Riders,16,9,56.25
2018,Kings XI Punjab,14,6,42.86
2018,Chennai Super Kings,16,11,68.75
2018,Sunrisers Hyderabad,17,10,58.82
2019,Royal Challengers Bangalore,14,5,35.71
2019,Sunrisers Hyderabad,15,6,40.0
2019,Delhi Capitals,16,10,62.5
2019,Kings XI Punjab,14,6,42.86
2019,Kolkata Knight Riders,14,6,42.86
2019,Mumbai Indians,16,11,68.75
2019,Rajasthan Royals,14,5,35.71
2019,Chennai Super Kings,17,10,58.82
